"","country","life_ladder","log_gdp_per_capita","social_support","life_expec","freedom_to_make_life_choices","generosity","perceptions_of_corruption","positive_affect","negative_affect","confidence_in_national_government","democratic_quality","delivery_quality","standard_deviation_of_ladder_by_country_year","standard_deviation_mean_of_ladder_by_country_year","gini_index_world_bank_estimate","gini_index_world_bank_estimate_average_2000_15","gini_of_household_income_reported_in_gallup_by_wp5_year","continent"
"1","Afghanistan",2.66171813011169,7.46014356613159,0.490880072116852,52.339527130127,0.427010864019394,-0.106340348720551,0.954392552375793,0.496348559856415,0.371326178312302,0.261178523302078,NA,NA,1.45405077934265,0.546282768249512,NA,NA,0.286598861217499,"Asia"
"2","Albania",4.63954830169678,9.37371826171875,0.637698292732239,69.0516586303711,0.749611020088196,-0.0351403765380383,0.876134634017944,0.669240891933441,0.333884119987488,0.457737535238266,NA,NA,2.68210482597351,0.578096091747284,NA,0.30325,0.410487979650497,"Europe"
"3","Algeria",5.24891233444214,9.54024410247803,0.806753873825073,65.6991882324219,0.436670482158661,-0.194670125842094,0.699774205684662,0.64197963476181,0.288710027933121,NA,NA,NA,2.03976464271545,0.388607114553452,NA,0.276,0.527555763721466,"Africa"
"4","Argentina",6.03933000564575,9.84351921081543,0.906699120998383,67.538703918457,0.831966161727905,-0.186299905180931,0.8410524725914,0.809422612190247,0.291717261075974,0.305430293083191,NA,NA,2.40932893753052,0.3989397585392,NA,0.476066666666667,0.394175797700882,"Americas"
"5","Armenia",4.28773641586304,9.03471088409424,0.697924911975861,65.1256866455078,0.613697052001953,-0.132166177034378,0.864683330059052,0.625013828277588,0.437148749828339,0.246900990605354,NA,NA,2.32537889480591,0.542332530021667,NA,0.325066666666667,0.47887659072876,"Asia"
"6","Australia",7.25703763961792,10.7118272781372,0.949957847595215,72.7833404541016,0.910550177097321,0.301693260669708,0.411346524953842,0.780078887939453,0.225360974669456,0.45340695977211,NA,NA,1.74569892883301,0.240552559494972,NA,0.34275,0.428340911865234,"Oceania"
"7","Austria",7.29372787475586,10.7162256240845,0.906217813491821,72.3597106933594,0.890030562877655,0.124996736645699,0.51830381155014,0.747568726539612,0.180268719792366,0.435907930135727,NA,NA,1.56106197834015,0.214028000831604,NA,0.303818181818182,0.32294163107872,"Europe"
"8","Azerbaijan",5.15227937698364,9.65392971038818,0.787039399147034,63.0753135681152,0.731030464172363,-0.247480660676956,0.652539014816284,0.592359244823456,0.198318660259247,0.766583442687988,NA,NA,1.67375683784485,0.324857532978058,NA,0.228833333333333,0.313743263483047,"Asia"
"9","Bahrain",6.22732067108154,10.686713218689,0.87574714422226,66.1239929199219,0.905858516693115,0.120759174227715,NA,0.813570559024811,0.289759516716003,NA,NA,NA,2.21552562713623,0.355775088071823,NA,NA,0.446609318256378,"Asia"
"10","Bangladesh",4.3097710609436,8.16309261322021,0.712552785873413,62.5041542053223,0.896217167377472,0.0175361949950457,0.635014474391937,0.568827092647552,0.213505759835243,0.876646459102631,NA,NA,1.86536598205566,0.432822525501251,NA,0.329,0.532750129699707,"Asia"
"11","Belarus",5.55291509628296,9.71982955932617,0.900255799293518,66.6059646606445,0.620979249477386,-0.130582094192505,0.654113411903381,0.540905773639679,0.232768073678017,0.447916299104691,NA,NA,1.66256368160248,0.299403756856918,NA,0.281875,0.283250212669373,"Europe"
"12","Belgium",6.92834758758545,10.6576538085938,0.921639084815979,72.1429290771484,0.856801986694336,0.0454814694821835,0.543046057224274,0.78636759519577,0.233597695827484,0.449731916189194,NA,NA,1.5100132226944,0.217947095632553,NA,0.285181818181818,0.354373842477798,"Europe"
"13","Benin",4.85318088531494,7.63250255584717,0.435878992080688,51.794750213623,0.726808249950409,-0.0402694344520569,0.767234623432159,0.614722311496735,0.457920342683792,0.615089297294617,NA,NA,2.99812650680542,0.617765247821808,NA,0.432666666666667,0.577069699764252,"Africa"
"14","Bolivia",5.65055274963379,8.83260822296143,0.778661787509918,60.3437957763672,0.883904933929443,-0.115987852215767,0.819261968135834,0.698195397853851,0.433943539857864,0.427632957696915,NA,NA,2.25048422813416,0.398276835680008,NA,0.531642857142857,0.405886590480804,"Americas"
"15","Bosnia & Herzegovina",5.08990240097046,9.37171268463135,0.775295257568359,67.9944839477539,0.563798666000366,0.089589461684227,0.923343062400818,0.597341656684875,0.270745515823364,0.1263797134161,NA,NA,2.28100657463074,0.448143482208252,NA,0.32725,0.486203879117966,"Europe"
"16","Botswana",3.50488114356995,9.68365859985352,0.768258631229401,58.0132141113281,0.817308008670807,-0.258249282836914,0.731441497802734,0.656396448612213,0.276252508163452,0.770821094512939,NA,NA,2.66942548751831,0.761630833148956,NA,0.626,0.637864351272583,"Africa"
"17","Brazil",6.3329291343689,9.54769325256348,0.904694259166718,65.4537353515625,0.764792561531067,-0.187264695763588,0.794457376003265,0.71594512462616,0.307716906070709,0.16549026966095,NA,NA,2.5305061340332,0.399579107761383,NA,0.550214285714286,0.39262256026268,"Americas"
"18","Bulgaria",5.09690189361572,9.82296180725098,0.941754579544067,66.4154891967773,0.689047038555145,-0.160038664937019,0.910799741744995,0.61421674489975,0.188637346029282,0.326087951660156,NA,NA,1.85236382484436,0.363429367542267,NA,0.354666666666667,0.343219518661499,"Europe"
"19","Burkina Faso",4.64689111709595,7.43453121185303,0.784761369228363,52.3994750976562,0.613774716854095,-0.0512867793440819,0.727451324462891,0.585172474384308,0.353821069002151,0.54065614938736,NA,NA,2.19759202003479,0.472916603088379,NA,0.394666666666667,0.553144335746765,"Africa"
"20","Cambodia",4.58584213256836,8.20258045196533,0.765094935894012,58.6308746337891,0.963774681091309,0.0867193639278412,0.821022927761078,0.798616647720337,0.408283829689026,0.752442479133606,NA,NA,2.73265147209167,0.595888674259186,NA,NA,0.545690596103668,"Asia"
"21","Cameroon",5.07405138015747,8.12839984893799,0.694596409797668,50.1402244567871,0.766945004463196,-0.0310556311160326,0.843585610389709,0.632338762283325,0.377498745918274,0.578775525093079,NA,NA,2.81522440910339,0.554827749729156,NA,0.438,0.56523722410202,"Africa"
